x,y,id
-38542,-4199,Shakhnov V.A.
-30371,-5217,Verstov V.
-36973,-5575,Zinchenko L.A.
-35087,-4949,Sorokin B.
14842,-30605,Dvoretskiy D.A.
13501,-30300,Lazarev V.A.
14360,-29369,Voropaev V.S.
14739,-29806,Rodnova Z.N.
16425,-30011,Sazonkin S.G.
12613,-31440,Leonov S.O.
17814,-29968,Pnev A.B.
15738,-26329,Karasik V.E.
15412,-29385,Krylov A.A.
34858,-9061,Zhuravlev A.
36373,-9864,Razevig V.
33955,-12196,Ivashov S.
28922,-15291,Bugaev A.
33487,-9854,Chizh M.
31818,-13631,Anishchenko L.
33070,-13584,Gaysina E.
30834,-14700,Churkin S.
35833,-16364,Ivashov S.I.
37647,-15465,Razevig V.V.
36760,-15581,Bechtel T.D.
36356,-14995,Vasiliev I.A.
36349,-12847,Capineri L.
37950,-16759,Zhuravlev A.V.
23254,-18728,Ryzhii M.
23763,-20989,Ryzhii V.
22216,-21802,Otsuji T.
19777,-21265,Shur M.S.
-9671,-31904,Kravchenko O.V.
-8216,-35358,Kravchenko V.F.
-8234,-33309,Konovalov Y.Y.
-10495,-33562,Churikov D.V.
6336,18207,Ksenofontov B.S.
4532,17975,Antonova E.S.
3277,18687,Ivanov M.V.
5139,17716,Kozodaev A.S.
4800,17120,Taranov R.A.
-51065,17253,Akhiyarov V.V.
-51773,19113,Borzov A.B.
-51162,18397,Suchkov V.B.
-47948,18538,Shakhtarin B.I.
-49957,18458,Sidorkina Y.A.
54858,20617,Komkov M.A.
53944,21476,Moiseev V.A.
53039,18853,Tarasov V.A.
53953,20691,Timofeev M.P.
74095,-12652,Alimov A.I.
74006,-13102,Evsukov S.A.
74666,-13354,Kolesnikov V.V.
74934,-12683,Nebogov S.M.
33441,-14076,Gennarelli G.
31955,-12033,Tataraidze A.
33249,-15201,Soldovieri F.
8806,-4055,Grishin Y.A.
8917,-5328,Bakulin V.N.
79615,38479,Tazetdinov R.G.
79967,39044,Fetisov G.P.
78846,38758,Pomel’nikova A.S.
79418,37808,Komshina A.V.
-17105,2227,Kiselev N.A.
-21214,8184,Burtsev S.A.
-19784,6124,Strongin M.M.
-82392,49796,Mezhennaya N.M.
-81526,49313,Mikhailov V.G.
-5021,46107,Berezin A.V.
-5547,45933,Kuftov A.F.
-5139,45565,Shkurikhin I.B.
17416,16295,Vinogrado V.V.
17710,16044,Shakurov A.G.
16904,16156,Tyazhel’nikova I.L.
17124,15634,Vinogradova E.P.
17664,15511,Esenbekov V.S.
61533,40054,Zimin A.M.
60292,36882,Krupin V.A.
60968,38022,Troynov V.I.
59787,37603,Klyuchnikov L.A.
22477,8904,Borovskii G.V.
21314,9136,Shavva M.A.
22064,9556,Zakharevich E.M.
21754,8508,Grubyi S.V.
22105,8949,Maslov A.R.
78617,37548,Shipko M.N.
78652,37952,Korovushkin V.V.
17474,-73574,Ege N.
18245,-74434,Erbaş B.
17469,-74217,Prikazchikov D.A.
-19319,61519,Gouskov A.M.
-20291,63958,Voronov S.A.
-18606,63375,Ivanov I.I.
-19202,62801,Kiselev I.A.
-18163,61411,Novikov V.V.
-16156,40127,Akhrameev V.I.
-15936,40483,Akhrameev I.V.
-15530,40387,Babichenko A.V.
-15504,39970,Zemlyanyy E.S.
-15889,39806,Sokolov S.M.
20968,-25520,Afonin V.L.
20314,-24278,Baryshnikov N.V.
19772,-25761,Zhivotovsky I.V.
20686,-25364,Kachalov V.V.
20976,-24920,Kurilovich A.V.
20152,-25410,Mendeleev V.Y.
21092,-25209,Sukhorukov R.Y.
20646,-25047,Utyashev F.Z.
20503,-20047,Mitin V.
74773,20564,Tarassov V.B.
75727,21683,Svyatkina M.N.
75679,20844,Karabekov B.S.
-23117,61086,Lomakin V.O.
-37317,-39532,Oleg T.
8580,50895,Nikitin O.F.
10588,50571,Andreev M.
20080,-53893,Pavel S.
-16032,43338,Shumilov I.S.
7502,-63483,Semenov S.E.
-82281,-46227,Drakon A.V.
-84110,-46269,Emelianov A.V.
-83193,-45318,Eremin A.V.
-82241,-44812,Mikheyeva E.Yu.
58887,2348,Loktionov E.Y.
61604,1258,Pasechnikov N.A.
61225,1878,Pavlov A.V.
62471,756,Protasov Y.S.
62557,2398,Telekh V.D.
-38437,-6585,Rezchikova E.V.
-39141,-6065,Glushko A.A.
29871,-11794,Korostovtseva L.
30700,-11817,Kooij B.J.
31176,-10978,Bochkarev M.
30005,-12891,Sviryaev Y.
3988,80379,Timofeev G.A.
3966,79305,Kuzenkov V.V.
-9151,6752,Pugachuk A.S.
-8457,7744,Chernishev A.V.
-65990,27832,Chetverikov V.N.
-9310,7991,Borisov Y.A.
-31526,25780,Bui V.T.
-31052,26564,Lapygin V.I.
-29718,8469,Zubkov N.N.
13487,-24681,Dolganova I.N.
9171,-24786,Zaytsev K.I.
10876,-26799,Metelkina A.A.
10140,-21239,Yurchenko S.O.
105689,31266,Ismagilov R.S.
-16815,22367,Borodulin A.S.
-16456,24920,Marycheva A.N.
-15181,25507,Malysheva G.V.
-70344,93285,Zubov N.E.
-67429,92272,Mikrin E.A.
-70019,95736,Misrikhanov M.S.
-67782,95061,Ryabchenko V.N.
-45242,-77730,Belov N.A.
-44462,-78652,Naumova E.A.
-43858,-77846,Akopyan T.K.
-88468,8770,Manturov V.O.
-58407,26777,Kanatnikov A.N.
-60765,24747,Krishchenko A.P.
-90533,8576,Kim S.
23946,22892,Trapeznikov A.V.
23421,22723,Goncharenko E.S.
-55822,10153,Kurenkov A.S.
-55372,10667,Sinev I.M.
-55855,10636,Gavrilov S.A.
-55338,10184,Shchedrin A.V.
-88639,10402,Nikonov I.M.
-73528,-68118,Ivanov A.S.
-75289,-68121,Smirnov N.I.
-75621,-69341,Murkin S.V.
-37082,-56256,Fursov A.S.
-37245,-57391,Khusainov E.F.
-88160,7466,Ilyutko D.P.
-8408,-24007,Basarab M.A.
-2196,-8038,Zakharyan R.A.
-7072,-19645,Kreisberg V.A.
-7765,-22707,Lunin B.S.
-10091,-23878,Matveev V.A.
-46283,16194,Trifonov A.P.
-46835,16817,Kurbatov A.V.
-47231,15994,Chernoyarov O.V.
-51751,-37804,Kuraposhin V.S.
-53053,-38792,Talis A.L.
-51901,-38198,Demina E.D.
-52494,-37705,Zaitsev A.I.
-26906,12598,Arbekov A.N.
-25146,13584,Varaksin A.Y.
-26717,13729,Inozemtsev A.A.
-38682,90285,Manzhirov A.V.
-41985,89411,Parshin D.A.
-12558,36938,Mikheev Y.A.
-12087,38405,Guseva L.N.
-12241,34190,Ershov Y.A.
-61995,-29102,Zakharov M.N.
-60897,-28828,Morozov E.M.
-61109,-28409,Nasonov V.A.
-52969,-40134,Kondrat'ev S.Yu.
-54497,-40058,Kraposhin V.S.
-52472,-40653,Anastasiadi G.P.
21628,-36630,Ovseevich A.I.
20244,-32279,Fedorov A.K.
-87460,7738,Fedoseev D.A.
-86886,8030,Cheng Z.
-5711,-32212,Pustovoit V.I.
-8682,-27656,Yurin A.V.
36022,37660,Chirkov A.Yu.
37604,-12518,Bechtel T.
37798,-11334,Windsor C.
36822,-11097,Inagaki M.
36675,-11754,Vohra D.
36924,-11924,Thomas R.D.K.
36610,-12077,Van Scyoc R.
-16134,17962,Belov P.A.
-17454,20744,Nelyub V.A.
-14689,21351,Kovalev S.P.
-14318,20033,Shelofast V.V.
-22843,8490,Leontiev A.I.
52227,20695,Kuznetsov V.M.
-15829,23831,Romanova I.K.
51506,56110,Romadanov I.V.
53733,55618,Ryzhkov S.V.
-21630,-24794,Evtikhiev N.N.
-22255,-22568,Zlokazov E.Y.
-21962,-24111,Starikov R.S.
-22279,-25093,Starikov S.N.
-20656,-23753,Bobrinev V.I.
-18613,-23262,Odinokov S.B.
-15285,-4175,Berezovskii V.V.
-15525,-3662,Solyaev Y.O.
-15707,-527,Lur’e S.A.
-15648,-4033,Babaitsev A.V.
-15165,-3798,Shavnev A.A.
-14434,-7451,Kurganova Y.A.
-74576,-70131,Ermolaev M.M.
56179,-35319,Martynenko O.V.
55868,-35848,Karminov V.N.
55446,-35267,Shchepashchenko D.G.
55318,-35701,Ontikov P.V.
-14136,42620,Rukhadze A.A.
-14270,43156,Samkharadze T.G.
43570,-7354,Kalinin V.I.
43356,-8943,Chapurskii V.V.
55839,-34875,Vasil’ev S.B.
57974,47163,Shchepetov S.V.
57540,48513,Khol’nov Y.V.
58098,48461,Vasil’kov D.G.
8828,-27398,Zaitsev K.I.
12073,-21681,Chernomyrdin N.V.
10922,-22912,Kudrin K.G.
13380,-23485,Reshetov I.V.
-65418,46250,Shirokov D.S.
15501,7374,Baranov A.A.
16675,7313,Budyansky A.A.
17110,6584,Chernov N.V.
55916,59634,Kuzenov V.V.
53207,59667,Shumaev V.V.
-59297,-12250,Barabanov A.
-58254,-13232,Markov A.
-58469,-12413,Fadin A.
-57816,-12176,Tsirlov V.
-58525,-12012,Shakhalov I.
-22754,44561,Borovskii V.G.
-22221,44692,Ryzhikova T.N.
-2349,25520,Gerasimov R.Y.
-2278,21676,Fadeev G.N.
-1399,27909,Gerasimov Y.V.
-2334,24538,Kondrakova E.A.
87957,-56164,Yanushkin V.N.
89197,-57579,Kolyada Y.B.
87617,-57962,Krushnyak N.T.
61604,-47,Protasov Y.Y.
-31595,-45602,Chernikov S.A.
-36147,22701,Sayapin S.N.
113434,53885,Kozlov O.S.
114875,54610,Skvortsov L.M.
4714,-36560,Savin A.A.
9610,-37460,Savin A.S.
8408,-22700,Yakovlev E.V.
37594,30489,Arefyev K.Y.
37653,31426,Voronetsky A.V.
57490,3658,Tomkovich P.S.
58246,5012,Porter R.R.
36831,1925,Grekhov L.
39168,1865,Mahkamov K.
39574,2631,Kuleshov A.
-5889,-11827,Morozov A.N.
-6500,-14451,Svetlichnyi S.I.
-3870,-16241,Fufurin I.L.
-12010,2943,Sister V.G.
-11443,2931,Ivannikova E.M.
-11345,1864,Kirshankova E.V.
-11032,-667,Gudkov A.G.
-12223,-12708,Mikheev R.S.
-11235,-12982,Kobernik N.V.
-10300,-13858,Kalashnikov I.E.
-10109,-15205,Bolotova L.K.
-10970,-14550,Kobeleva L.I.
-46269,-78976,Bazlova T.A.
-10769,1016,Agasieva S.V.
-12613,2286,Leushin V.Y.
-10691,2058,Bobrikhin A.F.
-45778,27617,Kalinichenko V.A.
-45723,26582,Soe A.N.
-46688,26916,Chashechkin Y.D.
-20540,17822,Ovcharenko E.A.
-19052,18872,Klyshnikov K.Y.
-20078,18721,Nushtaev D.V.
-18021,18275,Savrasov G.V.
-19798,17564,Barbarash L.S.
-23573,13794,Protasov M.V.
-24299,14279,Marinichev D.V.
-24879,14978,Vasil’ev N.V.
-86617,-21830,Ivashkin V.V.
-88363,-21878,Krylov I.V.
-3100,-9485,Khasanshin R.H.
-3712,-8200,Novikov L.S.
-3311,-8024,Gatsenko L.S.
-3715,-7211,Volkova Y.B.
13007,-22184,Gavdush A.A.
78229,38129,Nochovnaya N.A.
-25131,7336,Isaev S.A.
-25781,8920,Leont′ev A.I.
-26799,8754,Shchelchkov A.V.
-25709,8544,Gul′tsova M.E.
39708,1538,Janhunen T.
39924,1884,Akimov V.
9096,-89267,Chernyatin A.S.
8227,-90101,Razumovskii I.A.
-12067,-54551,Burago N.G.
-12358,-54080,Nikitin I.S.
-11804,-54063,Yushkovskii P.A.
-35710,101078,Polyanin A.D.
-36029,104836,Zhurov A.I.
-36936,103277,Sorokin V.G.
-35465,103300,Vyazmin A.V.
-791,-38660,Gladyshev V.O.
891,-38555,Portnov D.I.
-74,-40677,Sadovnikov S.V.
1134,-42144,Kauts V.L.
-1399,-42923,Sharandin E.A.
-51510,5772,Feoktistov V.V.
-52061,5722,Myakinnik O.O.
-62228,27681,Golubev A.E.
-46044,15420,Pribytkov Y.N.
-46421,15169,Mikhailov B.B.
75190,-29937,Brinson M.
73991,-29462,Kuznetsov V.
17841,4822,Grishko D.A.
20894,6054,Mayorova V.I.
57276,47734,Batanov G.M.
58547,47480,Borzosekov V.D.
58305,46720,Kolik L.V.
56331,46352,Konchekov E.M.
56487,47733,Malakhov D.V.
57579,47280,Petelin M.I.
57722,45667,Petrov A.E.
58855,46812,Sarksyan K.A.
56324,47017,Skvortsova N.N.
58309,46116,Stepakhin V.D.
57912,47758,Kharchev N.K.
28155,19140,Gladkov Y.
27506,19239,Peshekhodov I.
27791,18936,Vucetic M.
27691,19615,Bouguecha A.
28102,19555,Behrens B.-A.
15823,-31561,Tarabrin M.K.
15878,-33934,Kireev A.N.
16768,-32250,Korostelin Y.V.
17687,-32121,Podmarkov Y.P.
17669,-32972,Frolov M.P.
15614,-33071,Shelkovnikov A.S.
16814,-33329,Kozlovsky V.I.
14366,-33212,Gubin M.A.
13742,1900,Fomichev D.V.
14816,1616,Solonin V.I.
-32797,25879,Mitrofanov A.A.
-33312,25898,Safin A.R.
-33041,26383,Udalov N.N.
77040,-39784,Zelenkova M.V.
76638,-40993,Skripka V.L.
-47792,45174,Stenina M.A.
-48032,44773,Krivov L.I.
-48949,44881,Spiridonov I.N.
-47615,44684,Taranov A.A.
-7628,-292,Ivanov Y.A.
-7980,1323,Meshkov S.A.
-9536,717,Petrov V.I.
-8334,-502,Sinyakin V.Y.
-9917,519,Schukin S.I.
51076,20881,Nekhoroshikh G.E.
-16039,27479,Shimina Y.Y.
14812,89864,Komkin A.I.
14808,91606,Mironov M.A.
-8649,-2231,Berlin A.A.
23083,-76827,Karpov A.
-28222,45443,Gordeev E.N.
-12141,1327,Lemondzhava V.N.
-22709,14476,Romash M.E.
-23526,14675,Kopeitsev V.N.
-47855,28351,Nesterov S.V.
