x,y,id
-4148,-2056,Dvoretskiy D.A.
-3077,-3837,Lazarev V.A.
-3503,-2861,Voropaev V.S.
-3491,-3130,Rodnova Z.N.
-3628,-1910,Sazonkin S.G.
-2767,-3230,Leonov S.O.
-4361,-2640,Pnev A.B.
-4165,-3539,Karasik V.E.
-3900,-2665,Krylov A.A.
-12676,-8695,Kondrat'ev S.Yu.
-13323,-9127,Kraposhin V.S.
-12725,-9117,Anastasiadi G.P.
-13638,-8609,Talis A.L.
-7774,163,Yakovlev E.V.
-6839,454,Zaytsev K.I.
-5545,-941,Dolganova I.N.
-8140,-1343,Yurchenko S.O.
-6063,803,Gavdush A.A.
-5612,244,Chernomyrdin N.V.
9154,-18014,Polyanin A.D.
12624,-18148,Zhurov A.I.
11920,-550,Baranov A.A.
11396,-458,Grishko D.A.
11604,-1158,Mayorova V.I.
7615,-16102,Sorokin V.G.
-9246,365,Kryuchkov N.P.
-7446,1141,Ivlev A.V.
2984,8882,Belov N.A.
2861,8212,Naumova E.A.
3247,8495,Alabin A.N.
2600,8596,Matveeva I.A.
15915,1271,Murashov M.V.
15362,1404,Panin S.D.
9013,3617,Vasilets V.N.
8277,3566,Shekhter A.B.
8733,3228,Guller A.E.
8587,4083,Pekshev A.V.
-3428,-2463,Grebenyukov V.V.
-3172,-2820,Pozharov A.S.
-5020,-3624,Obraztsova E.D.
-2999,-2429,Dianov E.M.
-10079,1303,Khrapak S.A.
-9390,2155,Thomas H.M.
-9259,-5632,Ryzhii V.
-7416,-4993,Otsuji T.
-8399,-5098,Ryzhii M.
-9005,-6925,Aleshkin V.Ya.
-8427,-6754,Dubinov A.A.
-7576,-7394,Svintsov D.
-7060,-6263,Mitin V.
-6438,-5645,Shur M.S.
386,16987,Kiktenko E.O.
-340,16997,Fedorov A.K.
-214,16216,Man'ko O.V.
-585,16418,Man'ko V.I.
-8415,-20084,Deryabina G.
-9336,-19662,Krasilnikov A.
-6298,-1431,Kudrin K.G.
-5595,-422,Reshetov I.V.
633,13521,Ryzhkov S.V.
-1834,-15043,Emdadi A.A.
-1848,-14381,Cifre J.
-2189,-14719,Dementeva O.Y.
-1499,-14695,Golovin I.S.
15026,-4407,Emelianov A.
15737,-4427,Eremin A.
15084,-4994,Gurentsov E.
15352,-3775,Mikheyeva E.
14662,-4481,Yurischev M.
2435,-13839,Nosko O.
2040,-13215,Nagamine T.
2595,-13509,Nosko A.L.
2070,-13840,Romashko A.M.
2405,-13199,Mori H.
1868,-13537,Sato Y.
2426,-8310,Shargatov V.A.
2674,-9017,Il'Ichev A.T.
2115,-8724,Tsypkin G.G.
-12709,6712,Chernyatin A.S.
-13250,6860,Matvienko Y.G.
-12822,7213,Razumovsky I.A.
9199,-6808,Ivashov S.
10074,-6458,Razevig V.
9719,-6085,Vasiliev I.
9351,-6254,Bechtel T.
10125,-6987,Capineri L.
-2685,-4354,Tarabrin M.K.
-3076,-4658,Kovtun A.A.
-2427,-5308,Kireev A.N.
-1635,-4259,Kozlovsky V.I.
-2210,-4430,Korostelin Y.V.
-2673,-4936,Podmar'Kov Y.P.
-1807,-4787,Frolov M.P.
-2944,-5202,Gubin M.A.
6933,12415,Rusanov A.
6213,12635,Nevshupa R.
6753,12007,Fontaine J.
5885,12293,Martin J.-M.
6459,12242,Le Mogne T.
6198,11969,Elinson V.
6485,11809,Lyamin A.
6663,12840,Roman E.
6087,13081,Garrido M.Á.
-6460,-4898,Leiman V.G.
1561,5246,Arapov Y.D.
1177,4980,Dyakov V.A.
2302,5049,Grechin S.G.
1508,4704,Kasyanov I.V.
9248,15271,Krishchenko A.P.
9272,16484,Starkov K.E.
-11458,8658,Lurie S.
-11337,9199,Belov P.
-15507,4053,Talis A.
-15742,3417,Kraposhin V.
11660,-9398,Betin A.Yu.
12083,-9393,Bobrinev V.I.
11977,-9749,Donchenko S.S.
12238,-10080,Odinokov S.B.
11700,-10038,Evtikhiev N.N.
12552,-9719,Starikov R.S.
12533,-9231,Starikov S.N.
11543,-9674,Zlokazov E.Yu.
-7814,-6525,Satou A.
-7973,-6946,Vyurkov V.
2460,4479,Chao Z.W.
2410,4049,An Y.H.
2813,4294,Andreev Yu.M.
2051,4315,Lanskii G.V.
10852,-1614,Samburov S.N.
10947,-1175,Zhdanovich O.V.
11300,-1721,Strashinsky V.A.
-11696,-583,Bunkin N.F.
-9474,-395,Gorelik V.S.
-11382,503,Kozlov V.A.
-11228,-996,Shkirin A.V.
-11022,-51,Suyazov N.V.
241,-10258,Morozov A.V.
407,-10624,Putilin A.N.
572,-10991,Kopenkin S.S.
803,-10667,Borodin Y.P.
637,-10305,Druzhin V.V.
178,-10945,Dubynin S.E.
12,-10579,Dubinin G.B.
