x,y,id
-1185,7941,Dvoretskiy D.A.
994,8408,Lazarev V.A.
-1013,8919,Voropaev V.S.
-340,8499,Rodnova Z.N.
-778,8402,Sazonkin S.G.
195,8082,Leonov S.O.
-1033,7175,Pnev A.B.
-611,9737,Karasik V.E.
-1735,8948,Krylov A.A.
6269,-7621,Anishchenko L.
6007,-7118,Gennarelli G.
5657,-7328,Tataraidze A.
5616,-6968,Gaysina E.
5768,-7683,Soldovieri F.
5102,-7635,Ivashov S.
8195,-8832,Berezin A.V.
8265,-8335,Kuftov A.F.
7765,-8510,Shkurikhin I.B.
16591,10766,Vinogrado V.V.
16177,10772,Shakurov A.G.
16711,11163,Tyazhel’nikova I.L.
16374,11408,Vinogradova E.P.
16041,11165,Esenbekov V.S.
15178,6260,Borovskii G.V.
14833,5971,Shavva M.A.
14632,6366,Zakharevich E.M.
15031,7133,Grubyi S.V.
15058,6607,Maslov A.R.
14164,-22230,Ege N.
14496,-22820,Erbaş B.
15271,-22712,Prikazchikov D.A.
-5368,9269,Afonin V.L.
-4527,11190,Baryshnikov N.V.
-5012,9135,Zhivotovsky I.V.
-5117,9909,Kachalov V.V.
-4854,9534,Kurilovich A.V.
-4667,9255,Mendeleev V.Y.
-5367,9663,Sukhorukov R.Y.
-5126,9488,Utyashev F.Z.
-8833,15840,Ryzhii V.
-8846,13107,Otsuji T.
-7679,15033,Ryzhii M.
-6465,14506,Mitin V.
-7578,12541,Shur M.S.
17364,-21382,Timofeev G.A.
16315,-20507,Kuzenkov V.V.
-17198,94,Zubkov N.N.
1820,12443,Dolganova I.N.
3937,10037,Zaytsev K.I.
2237,11797,Metelkina A.A.
3320,11966,Yurchenko S.O.
-21627,-21898,Ismagilov R.S.
-15324,3888,Zubov N.E.
-12753,3454,Mikrin E.A.
-16602,4472,Misrikhanov M.S.
-15116,5774,Ryabchenko V.N.
-10620,-18176,Belov N.A.
-11019,-18906,Naumova E.A.
-10584,-17467,Akopyan T.K.
-18363,-15807,Manturov V.O.
-19806,-14269,Kim S.
-7120,-13320,Kurenkov A.S.
-6755,-13530,Sinev I.M.
-6531,-13083,Gavrilov S.A.
-6887,-12881,Shchedrin A.V.
-18243,-14252,Nikonov I.M.
18972,-17633,Ivanov A.S.
19960,-18945,Smirnov N.I.
21743,-17470,Murkin S.V.
-17077,-13956,Ilyutko D.P.
-1740,-5112,Arbekov A.N.
-563,-5703,Varaksin A.Y.
-252,-4837,Inozemtsev A.A.
-2521,-17067,Zakharov M.N.
-994,-17208,Morozov E.M.
-1415,-17265,Nasonov V.A.
-20069,-10181,Kondrat'ev S.Yu.
-20493,-10508,Kraposhin V.S.
-21427,-10752,Anastasiadi G.P.
-20816,-9611,Talis A.L.
-8904,6919,Ovseevich A.I.
-5961,6803,Fedorov A.K.
-16460,-15123,Fedoseev D.A.
-16921,-15414,Cheng Z.
19404,1924,Chirkov A.Yu.
-3292,11942,Romadanov I.V.
-4424,9881,Ryzhkov S.V.
-4039,15016,Evtikhiev N.N.
-3385,13910,Zlokazov E.Y.
-3834,15908,Starikov R.S.
-4460,15602,Starikov S.N.
-2865,14950,Bobrinev V.I.
-5475,12209,Odinokov S.B.
20714,-18181,Ermolaev M.M.
3379,-17395,Shchepetov S.V.
2578,-18290,Khol’nov Y.V.
3134,-18436,Vasil’kov D.G.
23615,-12308,Shirokov D.S.
20306,-4538,Chernikov S.A.
26597,-10975,Sayapin S.N.
12956,-14963,Kozlov O.S.
12591,-14592,Skvortsov L.M.
703,3376,Savin A.A.
412,4651,Savin A.S.
4567,11049,Yakovlev E.V.
26817,4778,Krishchenko A.P.
25382,5919,Chetverikov V.N.
19211,-10853,Grekhov L.
17643,-10851,Mahkamov K.
17853,-11551,Kuleshov A.
20317,-5995,Grishin Y.A.
19441,-6191,Bakulin V.N.
10644,-4449,Kalinichenko V.A.
11106,-5292,Soe A.N.
10330,-5617,Chashechkin Y.D.
2113,9628,Gavdush A.A.
1969,11149,Chernomyrdin N.V.
-12125,-3003,Isaev S.A.
-13956,-2883,Leont′ev A.I.
-14951,-2433,Shchelchkov A.V.
-14162,-3250,Gul′tsova M.E.
16924,-11051,Janhunen T.
16833,-11471,Akimov V.
29001,-165,Chernyatin A.S.
29581,-1188,Razumovskii I.A.
7233,-42024,Polyanin A.D.
8535,-44647,Zhurov A.I.
6531,-12718,Baranov A.A.
7522,-12681,Grishko D.A.
7609,-13510,Mayorova V.I.
3054,-17777,Batanov G.M.
2744,-17297,Borzosekov V.D.
3761,-17054,Kolik L.V.
2327,-16851,Konchekov E.M.
4208,-16723,Malakhov D.V.
2807,-16898,Petelin M.I.
2596,-16249,Petrov A.E.
2265,-17621,Sarksyan K.A.
3222,-16200,Skvortsova N.N.
3619,-15979,Stepakhin V.D.
3757,-17760,Kharchev N.K.
-331,-4269,Mitrofanov A.A.
388,-4210,Safin A.R.
36,-3904,Udalov N.N.
6772,-39425,Sorokin V.G.
-29149,-9173,Komkin A.I.
-28873,-7752,Mironov M.A.
-14819,-15300,Gordeev E.N.
1407,-4998,Protasov M.V.
925,-5525,Romash M.E.
1523,-5851,Kopeitsev V.N.
9974,-4787,Nesterov S.V.
9793,-4072,So A.N.
17033,8198,Bashurin V.P.
16565,7994,Budnikov I.N.
16355,7722,Klevtsov V.A.
17120,7866,Ktitorov L.V.
16822,7924,Lazareva A.S.
16613,7559,Meshkov E.E.
16916,7592,Novikova I.A.
16266,8057,Pletenev F.A.
16770,8355,Fedorenko Y.V.
16466,8331,Yanbaev G.M.
6307,10703,Kryuchkov N.P.
5431,9630,Ivlev A.V.
-10094,-21423,Mikhailov V.P.
-9508,-20944,Selivanenko A.S.
-9350,-21639,Bazinenkov A.M.
-7125,5908,Kiktenko E.O.
-7747,6397,Strakhov A.A.
-7726,6751,Man'Ko V.I.
-11379,-18003,Alabin A.N.
-11112,-17643,Matveeva I.A.
-3810,3312,Basarab M.A.
-2304,3160,Lunin B.S.
-3069,4041,Matveev V.A.
-2312,3849,Chumankin E.A.
-4022,6996,Pesterev A.V.
-4257,7475,Rapoport L.B.
-3999,7750,Tkachev S.B.
12,27155,Morozov A.N.
1144,27948,Skripkin A.V.
-1656,-13284,Reznik S.V.
-3134,-11852,Prosuntsov P.V.
-1159,-12366,Azarov A.V.
-9384,-14620,Murashov M.V.
-8721,-14178,Panin S.D.
-5640,17800,Shelestov D.
-5757,18201,Lazarev V.
-6505,16740,Karasik V.
-5404,17395,Koshelev K.
-6213,18197,Pnev A.
-5213,17808,Grudinin A.
-8498,-3748,Leontiev A.I.
-11343,-2496,Gul’tsova M.E.
-14096,-1815,Popov I.A.
-2308,-12694,Mikhailovskii K.V.
-4976,7539,Chirkov A.Y.
14797,-3564,Vasilets V.N.
15314,-2653,Shekhter A.B.
14513,-3204,Guller A.E.
15148,-3144,Pekshev A.V.
-1879,8423,Grebenyukov V.V.
-1747,8080,Pozharov A.S.
-3585,9933,Obraztsova E.D.
-2050,7330,Dianov E.M.
-16641,-14326,Kauffman L.H.
7576,10630,Khrapak S.A.
7412,8397,Thomas H.M.
-10098,-3540,Kornev N.V.
-10339,-3918,Hassel E.
-10523,-3612,Chudnovskii Y.P.
-31036,-8044,Pavlov I.V.
-5574,29714,Sadykhov G.S.
-5844,28770,Babaev I.A.
7806,7335,Zhdanov S.
8282,7415,Schwabe M.
8917,7536,Räth C.
6737,9114,Morfill G.E.
4274,11485,Komarov K.A.
4559,12754,Pustovoit V.I.
6921,11579,Gorelik V.S.
5035,9339,Moiseenko V.N.
6016,7727,Aliev I.N.
8383,8065,Zhdanov S.K.
6113,9778,Couëdel L.
8133,8626,Nosenko V.
-10250,13514,Aleshkin V.Ya.
-10371,15225,Dubinov A.A.
-11068,13896,Svintsov D.
-8424,14449,Aleshkin Y.
-13429,32861,Zarubin V.S.
-14297,30926,Kuvyrkin G.N.
-12184,31750,Savelyeva I.Y.
-7729,5548,Man'ko O.V.
-7908,5978,Man'ko V.I.
28225,17453,Deryabina G.
27594,18476,Krasilnikov A.
-6054,-14045,Polyakov S.A.
-5768,-13147,Goncharov S.Y.
-4689,-15291,Lychagin V.V.
357,11063,Gladyshev V.O.
4450,13415,Portnov D.I.
-632,2490,Zakharov V.Y.
-492,1999,Chernova T.G.
-1015,2264,Stepanov S.E.
4299,8812,Voinov Y.P.
3481,9177,Zaitsev K.I.
3661,8825,Zlobina L.I.
4690,9642,Sverbil’ P.P.
2014,35229,Voblyi V.A.
20571,-16180,Fomin M.V.
19504,-16622,Chirkin A.V.
-14220,4216,Proletarskii A.V.
-6125,-25833,Konopel’ko N.A.
-6377,-26913,Titarev V.A.
-7699,-26715,Shakhov E.M.
1415,6502,Vladimirov I.Y.
2242,4312,Korchagin N.N.
-27169,-16539,Chernega V.N.
-27849,-15422,Man’ko O.V.
-26109,-15198,Man’ko V.I.
19003,10163,Voronov S.A.
18746,9450,Ivanov I.I.
18335,9737,Kiselev I.A.
-12348,-4980,Gerasimov S.A.
-11003,-6610,Kuksenova L.I.
-11898,-5195,Lapteva V.G.
-11465,-4709,Fakhurtdinov R.S.
-12139,-4438,Danilov V.D.
-12372,-5616,Smirnov A.E.
-13119,-3094,Gromov V.I.
-12606,-4574,Alekseeva M.S.
-12776,-5063,Shcherbakov Y.I.
-12015,-4797,Khrennikova I.A.
1505,10186,Kudrin K.G.
1584,10644,Reshetov I.V.
-21731,4532,Emdadi A.A.
-21364,3964,Cifre J.
-21837,4064,Dementeva O.Y.
-21261,4429,Golovin I.S.
10977,15291,Shishov V.V.
11306,15707,Talyzin M.S.
-4434,-3944,Sidnyaev N.I.
-4385,-3220,Gordeeva N.M.
